"","analyte_abbr","analyte_name","S","block","treatment","C_obs","C_obs_standardized"
"57",3,"TKN","GB","Block2","CT",6.67928881605527,1.44101120022141
"58",4,"pH","GB","Block2","CT",8.40898328865791,1.28544542802019
"59",5,"TP","GB","Block2","CT",0.660690991684706,0.307518576586756
"60",6,"OP","GB","Block2","CT",0.374244147676533,1.31764219486766
"61",7,"EC","GB","Block2","CT",0.17632765357259,1.20938344016148
"62",8,"TSS","GB","Block2","CT",1237.04611297312,1.23443148787602
"63",9,"TDS","GB","Block2","CT",629.091186368275,1.40695245653244
"64",1,"NO3","GBH","Block2","CT",9.39973682729268,1.16201645978285
"65",2,"NO2","GBH","Block2","CT",0.0927270794052554,0.570213160542977
"66",3,"TKN","GBH","Block2","CT",6.30254263204414,1.27134865789527
"67",4,"pH","GBH","Block2","CT",7.03358481197521,0.78158094029359
"68",5,"TP","GBH","Block2","CT",0.903850609869762,1.05058141545032
"69",6,"OP","GBH","Block2","CT",0.346036428414532,1.09413215151578
"70",7,"EC","GBH","Block2","CT",0.157208781628669,0.885615088569936
"71",8,"TSS","GBH","Block2","CT",791.376212286429,0.219396309637062
"72",9,"TDS","GBH","Block2","CT",495.490680669465,0.734912126382455
"73",1,"NO3","LCS","Block1","MT",6.22351816199954,0.183669001505691
"74",2,"NO2","LCS","Block1","MT",0.0604647664222766,-0.229052773037154
"75",3,"TKN","LCS","Block1","MT",2.95717118542614,-0.235194072320502
"76",4,"pH","LCS","Block1","MT",4.95809964976817,0.0212461822081676
"77",5,"TP","LCS","Block1","MT",0.636817873783459,0.234565563694932
"78",6,"OP","LCS","Block1","MT",0.233188379427008,0.199955912483403
"79",7,"EC","LCS","Block1","MT",0.0961422370259032,-0.148515719012287
"80",8,"TSS","LCS","Block1","MT",480.043820270429,-0.489678567384262
"81",9,"TDS","LCS","Block1","MT",425.635350490246,0.383524241203244
"82",1,"NO3","ISCO","Block1","MT",2.65792143753203,-0.914615739007352
"83",2,"NO2","ISCO","Block1","MT",0.0308844022915959,-0.961876156314795
"84",3,"TKN","ISCO","Block1","MT",1.37910346246091,-0.945855502226854
"85",4,"pH","ISCO","Block1","MT",1.98056711048395,-1.06954527425338
"86",5,"TP","ISCO","Block1","MT",0.301199689804039,-0.791038121750025
"87",6,"OP","ISCO","Block1","MT",0.0791430077126739,-1.02065633873147
"88",7,"EC","ISCO","Block1","MT",0.0431724329366808,-1.0455323528596
"89",8,"TSS","ISCO","Block1","MT",486.669265714232,-0.474588788634113
"90",9,"TDS","ISCO","Block1","MT",191.088655525412,-0.796297927098316
"91",1,"NO3","GB","Block1","MT",10.9921163759343,1.65250551239417
"92",2,"NO2","GB","Block1","MT",0.115238260769453,1.1279047432432
"93",3,"TKN","GB","Block1","MT",6.65034856072631,1.42797834812347
"94",4,"pH","GB","Block1","MT",8.539111045639,1.33311652604876
"95",5,"TP","GB","Block1","MT",0.84892111205521,0.882724314472442
"96",6,"OP","GB","Block1","MT",0.316960370656108,0.863741637850891
"97",7,"EC","GB","Block1","MT",0.168682613191462,1.07991857794007
"98",8,"TSS","GB","Block1","MT",908.157200099521,0.485370768753867
"99",9,"TDS","GB","Block1","MT",603.999127662058,1.28073380691831
"100",1,"NO3","GBH","Block1","MT",8.65320433964919,0.932067505138089
"101",2,"NO2","GBH","Block1","MT",0.112009653755985,1.04791929396234
"102",3,"TKN","GBH","Block1","MT",6.04475108716773,1.15525572649978
"103",4,"pH","GBH","Block1","MT",6.89967913531602,0.732525836396501
"104",5,"TP","GBH","Block1","MT",0.984848190167275,1.29809904360823
"105",6,"OP","GBH","Block1","MT",0.266661329562109,0.465186166171101
"106",7,"EC","GBH","Block1","MT",0.151055138124561,0.781406272304474
"107",8,"TSS","GBH","Block1","MT",915.548823626229,0.502205555873991
"108",9,"TDS","GBH","Block1","MT",493.882491402251,0.72682257581954
"109",1,"NO3","LCS","Block2","MT",4.1881930345015,-0.443257345541506
"110",2,"NO2","LCS","Block2","MT",0.0511916095799701,-0.458785785816225
"111",3,"TKN","LCS","Block2","MT",2.4749074491326,-0.452375015469354
"112",4,"pH","LCS","Block2","MT",3.5108072727942,-0.508955969733597
"113",5,"TP","LCS","Block2","MT",0.351456476415333,-0.637460192938143
"114",6,"OP","LCS","Block2","MT",0.124789143465605,-0.658969181885457
"115",7,"EC","LCS","Block2","MT",0.0583890092008519,-0.787847389627034
"116",8,"TSS","LCS","Block2","MT",423.533254625236,-0.61838416761365
"117",9,"TDS","LCS","Block2","MT",224.36748710611,-0.628897984669079
"118",1,"NO3","ISCO","Block2","MT",3.5018910003448,-0.654653953106521
"119",2,"NO2","ISCO","Block2","MT",-0.00362116231189717,-1.81671636324822
"120",3,"TKN","ISCO","Block2","MT",0.637256218558607,-1.27993636292215
"121",4,"pH","ISCO","Block2","MT",0.550637493268372,-1.59338674003801
"122",5,"TP","ISCO","Block2","MT",-0.0670435741436795,-1.91633963005036
"123",6,"OP","ISCO","Block2","MT",0.0362351193098503,-1.36064639280054
"124",7,"EC","ISCO","Block2","MT",0.00503360865115963,-1.69139390299612
"125",8,"TSS","ISCO","Block2","MT",99.6354771390584,-1.35607732973951
"126",9,"TDS","ISCO","Block2","MT",28.5870559287093,-1.61371720310815
"127",1,"NO3","GB","Block2","MT",7.3863283935505,0.541840951984914
"128",2,"NO2","GB","Block2","MT",0.0797532215458089,0.248799050536753
"129",3,"TKN","GB","Block2","MT",3.77525204964001,0.133217566977733
"130",4,"pH","GB","Block2","MT",7.0179516441118,0.775853874101078
"131",5,"TP","GB","Block2","MT",0.856762059442354,0.906685187039846
"132",6,"OP","GB","Block2","MT",0.275356132322326,0.534081340709021
"133",7,"EC","GB","Block2","MT",0.150000628840654,0.763548695058806
"134",8,"TSS","GB","Block2","MT",1224.57792867599,1.20603458323684
"135",9,"TDS","GB","Block2","MT",571.992787148809,1.11973477826263
"136",1,"NO3","GBH","Block2","MT",5.30288623159418,-0.0999065340715354
"137",2,"NO2","GBH","Block2","MT",0.0788268043974982,0.225848009570787
"138",3,"TKN","GBH","Block2","MT",5.2014984009197,0.775508298008336
"139",4,"pH","GBH","Block2","MT",5.55302704194337,0.239192319836494
"140",5,"TP","GBH","Block2","MT",0.634753051506101,0.228255746651235
"141",6,"OP","GBH","Block2","MT",0.235694635088146,0.219814778287782
"142",7,"EC","GBH","Block2","MT",0.111123209820936,0.105179419556151
"143",8,"TSS","GBH","Block2","MT",711.063199023052,0.0364794610747249
"144",9,"TDS","GBH","Block2","MT",398.527756045588,0.247166997457254
"145",1,"NO3","LCS","Block1","ST",3.58613115094208,-0.628706074227053
"146",2,"NO2","LCS","Block1","ST",0.061133860233682,-0.21247665556821
"147",3,"TKN","LCS","Block1","ST",2.01900715834602,-0.65768353793018
"148",4,"pH","LCS","Block1","ST",3.45668309673993,-0.52878386012576
"149",5,"TP","LCS","Block1","ST",0.46968625765521,-0.276166004610123
"150",6,"OP","LCS","Block1","ST",0.0971815793414545,-0.877723764519908
"151",7,"EC","LCS","Block1","ST",0.0745930152484878,-0.513440806298752
"152",8,"TSS","LCS","Block1","ST",189.691035530482,-1.1509713541679
"153",9,"TDS","LCS","Block1","ST",308.358477461784,-0.206404577230171
"154",1,"NO3","ISCO","Block1","ST",0.52635429862592,-1.57118681054076
"155",2,"NO2","ISCO","Block1","ST",0.00532154675327748,-1.59516985746968
"156",3,"TKN","ISCO","Block1","ST",-0.738252327986214,-1.89937801064762
"157",4,"pH","ISCO","Block1","ST",0.699223796622268,-1.53895352457948
"158",5,"TP","ISCO","Block1","ST",-2.8217795165833e-05,-1.71154978333378
"159",6,"OP","ISCO","Block1","ST",0.00332538350247819,-1.62141389437284
"160",7,"EC","ISCO","Block1","ST",0.0278767524558459,-1.30455690568241
"161",8,"TSS","ISCO","Block1","ST",64.8948259515746,-1.43520087614884
"162",9,"TDS","ISCO","Block1","ST",-3.58911920753377,-1.77557053778245
"163",1,"NO3","GB","Block1","ST",8.16320688246738,0.781137163964035
"164",2,"NO2","GB","Block1","ST",0.0963726158437205,0.660527611538089
"165",3,"TKN","GB","Block1","ST",5.59001354798734,0.950470833479602
"166",4,"pH","GB","Block1","ST",7.1432421927731,0.821752905682437
"167",5,"TP","GB","Block1","ST",0.700730748889051,0.429874648198224
"168",6,"OP","GB","Block1","ST",0.322732514879014,0.909478487169051
"169",7,"EC","GB","Block1","ST",0.150848980586785,0.777915099479548
"170",8,"TSS","GB","Block1","ST",1179.11311645291,1.10248623117772
"171",9,"TDS","GB","Block1","ST",488.511093052687,0.699803244557826
"172",1,"NO3","GBH","Block1","ST",7.23661906846061,0.495727081021762
"173",2,"NO2","GBH","Block1","ST",0.0625494413866331,-0.177407074773777
"174",3,"TKN","GBH","Block1","ST",5.68945892131337,0.995254710734665
"175",4,"pH","GBH","Block1","ST",5.68647779785186,0.288080767731779
"176",5,"TP","GBH","Block1","ST",0.624922401111425,0.198214611348155
"177",6,"OP","GBH","Block1","ST",0.167549643493042,-0.320146991898775
"178",7,"EC","GBH","Block1","ST",0.12643008700042,0.364393582763691
"179",8,"TSS","GBH","Block1","ST",896.638772762954,0.459136982432218
"180",9,"TDS","GBH","Block1","ST",399.682218678931,0.252974201892591
"181",1,"NO3","LCS","Block2","ST",2.55145589286242,-0.947409543841942
"182",2,"NO2","LCS","Block2","ST",0.024158910296502,-1.12849336820163
"183",3,"TKN","LCS","Block2","ST",1.86880673263024,-0.725324265738202
"184",4,"pH","LCS","Block2","ST",2.12946543397195,-1.01499775310984
"185",5,"TP","LCS","Block2","ST",0.212074062665743,-1.06339395949639
"186",6,"OP","LCS","Block2","ST",0.0231881672553423,-1.46402677574563
"187",7,"EC","LCS","Block2","ST",0.0520074881844003,-0.895915195416181
"188",8,"TSS","LCS","Block2","ST",410.839324454807,-0.647295219612544
"189",9,"TDS","LCS","Block2","ST",108.184670359929,-1.2133234560807
"190",1,"NO3","ISCO","Block2","ST",-2.39458816200624,-2.47090340227282
"191",2,"NO2","ISCO","Block2","ST",-0.00795041419412364,-1.92396916775659
"192",3,"TKN","ISCO","Block2","ST",-0.845087977972889,-1.94748999892264
"193",4,"pH","ISCO","Block2","ST",-0.674738829663553,-2.04229200181752
"194",5,"TP","ISCO","Block2","ST",-0.209400246548455,-2.35136232797119
"195",6,"OP","ISCO","Block2","ST",-0.0779585222190181,-2.26548472912821
"196",7,"EC","ISCO","Block2","ST",-0.00414225146320098,-1.84678241714983
"197",8,"TSS","ISCO","Block2","ST",-19.2450190568571,-1.62683352274117
"198",9,"TDS","ISCO","Block2","ST",-20.675623164035,-1.86151946215196
"199",1,"NO3","GB","Block2","ST",8.21522844615395,0.797160986619728
"200",2,"NO2","GB","Block2","ST",0.0812882142860238,0.286826931742725
"201",3,"TKN","GB","Block2","ST",1.99907076226849,-0.666661623938437
"202",4,"pH","GB","Block2","ST",5.63337771974336,0.268628046132936
"203",5,"TP","GB","Block2","ST",0.75713251273588,0.602230794641263
"204",6,"OP","GB","Block2","ST",0.342976962114965,1.06988980001978
"205",7,"EC","GB","Block2","ST",0.106231384017595,0.0223388429119731
"206",8,"TSS","GB","Block2","ST",569.828886874579,-0.285188650198205
"207",9,"TDS","GB","Block2","ST",364.708930261994,0.0770507637947205
"208",1,"NO3","GBH","Block2","ST",3.74594421792281,-0.579480021377305
"209",2,"NO2","GBH","Block2","ST",0.0535425627685751,-0.400543315845614
"210",3,"TKN","GBH","Block2","ST",2.8146220323235,-0.299389153115585
"211",4,"pH","GBH","Block2","ST",4.079877794926,-0.300482256860354
"212",5,"TP","GBH","Block2","ST",0.683697216698315,0.377822482299981
"213",6,"OP","GBH","Block2","ST",0.185388737244277,-0.178795024351783
"214",7,"EC","GBH","Block2","ST",0.0891589189949442,-0.266774650509651
"215",8,"TSS","GBH","Block2","ST",699.123928320919,0.0092871832329623
"216",9,"TDS","GBH","Block2","ST",301.870759305898,-0.239039246003288
"217",1,"NO3","LCS","Block1","CT",7.06791196304409,0.443761462413346
"218",2,"NO2","LCS","Block1","CT",0.104767874235521,0.868511584655855
"219",3,"TKN","LCS","Block1","CT",4.2829697899079,0.361861376135437
"220",4,"pH","LCS","Block1","CT",6.17163977959078,0.465815364314217
"221",5,"TP","LCS","Block1","CT",0.75856678904434,0.606613748659016
"222",6,"OP","LCS","Block1","CT",0.252424356323545,0.352376389662949
"223",7,"EC","LCS","Block1","CT",0.129782039066437,0.421157182531061
"224",8,"TSS","LCS","Block1","CT",686.373759862566,-0.0197519542402213
"225",9,"TDS","LCS","Block1","CT",471.418295163335,0.613822660302826
"226",1,"NO3","ISCO","Block1","CT",3.82598176557301,-0.554826639616802
"227",2,"NO2","ISCO","Block1","CT",0.0551566772864803,-0.360555273210872
"228",3,"TKN","ISCO","Block1","CT",2.26563472269408,-0.546618153990524
"229",4,"pH","ISCO","Block1","CT",3.43414965741782,-0.537038776830433
"230",5,"TP","ISCO","Block1","CT",0.525023660407872,-0.107062401422873
"231",6,"OP","ISCO","Block1","CT",0.13641181424443,-0.566874403661418
"232",7,"EC","ISCO","Block1","CT",0.0844795199587519,-0.346017888124864
"233",8,"TSS","ISCO","Block1","CT",259.683513978212,-0.991560032633482
"234",9,"TDS","ISCO","Block1","CT",226.694195181225,-0.617194124307293
"235",1,"NO3","GB","Block1","CT",10.9306486048468,1.63357204340273
"236",2,"NO2","GB","Block1","CT",0.136090345918691,1.64449390759391
"237",3,"TKN","GB","Block1","CT",8.34870701199171,2.19281107862373
"238",4,"pH","GB","Block1","CT",9.79772352987016,1.79419754755968
"239",5,"TP","GB","Block1","CT",1.14442258511034,1.78573676816698
"240",6,"OP","GB","Block1","CT",0.372881414606804,1.30684428084054
"241",7,"EC","GB","Block1","CT",0.202707827234904,1.65611823531039
"242",8,"TSS","GB","Block1","CT",1599.61378171097,2.06019723443857
"243",9,"TDS","GB","Block1","CT",762.924083229778,2.08016176604282
"244",1,"NO3","GBH","Block1","CT",10.8488636888101,1.60838043250885
"245",2,"NO2","GBH","Block1","CT",0.106193629504747,0.903833218815059
"246",3,"TKN","GBH","Block1","CT",8.04996069363639,2.05827471957399
"247",4,"pH","GBH","Block1","CT",8.50168728297995,1.31940667736077
"248",5,"TP","GBH","Block1","CT",0.957328253586174,1.21400184706742
"249",6,"OP","GBH","Block1","CT",0.395180388939913,1.48353508925375
"250",7,"EC","GBH","Block1","CT",0.170286147708481,1.10707361767349
"251",8,"TSS","GBH","Block1","CT",980.768751688229,0.650747158533586
"252",9,"TDS","GBH","Block1","CT",602.45252254688,1.27295403837043
"253",1,"NO3","LCS","Block2","CT",4.40150414344222,-0.377552681207516
"254",2,"NO2","LCS","Block2","CT",0.0719001899855975,0.0542481947218548
"255",3,"TKN","LCS","Block2","CT",4.79770589960467,0.593665812927404
"256",4,"pH","LCS","Block2","CT",4.79661262770352,-0.0379130920141974
"257",5,"TP","LCS","Block2","CT",0.486155924578694,-0.225836934550525
"258",6,"OP","LCS","Block2","CT",0.212328196972543,0.0346656867328012
"259",7,"EC","LCS","Block2","CT",0.0948240388017389,-0.170838734060476
"260",8,"TSS","LCS","Block2","CT",623.343208022744,-0.163307144578754
"261",9,"TDS","LCS","Block2","CT",393.63777058357,0.222569280351812
"262",1,"NO3","ISCO","Block2","CT",3.36954501397012,-0.69541952154729
"263",2,"NO2","ISCO","Block2","CT",0.033838466650271,-0.888692221587675
"264",3,"TKN","ISCO","Block2","CT",-0.351555663067465,-1.72523440398744
"265",4,"pH","ISCO","Block2","CT",2.09460032631738,-1.02777026224499
"266",5,"TP","ISCO","Block2","CT",0.346477321433828,-0.65267581575954
"267",6,"OP","ISCO","Block2","CT",0.13065975187058,-0.612452130049026
"268",7,"EC","ISCO","Block2","CT",0.0430918352589572,-1.04689723345168
"269",8,"TSS","ISCO","Block2","CT",-239.985961712741,-2.12958190608076
"270",9,"TDS","ISCO","Block2","CT",153.048331940056,-0.98764923589462
"271",1,"NO3","GB","Block2","CT",10.1737516974836,1.40043061218193
"272",2,"NO2","GB","Block2","CT",0.120458035797251,1.2572193513704
"273",3,"TKN","GB","Block2","CT",6.15741254017588,1.20599128627643
"274",4,"pH","GB","Block2","CT",8.44315653728688,1.29796448101195
"275",5,"TP","GB","Block2","CT",0.920345026394979,1.10098611693861
"276",6,"OP","GB","Block2","CT",0.425498911287577,1.72377054329205
"277",7,"EC","GB","Block2","CT",0.184703933998739,1.35123147983649
"278",8,"TSS","GB","Block2","CT",951.46594588508,0.584008573169235
"279",9,"TDS","GB","Block2","CT",669.078772819277,1.60809893168887
"280",1,"NO3","GBH","Block2","CT",9.20445893700982,1.1018664362018
"281",2,"NO2","GBH","Block2","CT",0.108240739636819,0.954548286631654
"282",3,"TKN","GBH","Block2","CT",3.33737059781441,-0.0639764153560105
"283",4,"pH","GBH","Block2","CT",6.94306936563945,0.748421445229069
"284",5,"TP","GBH","Block2","CT",0.863551381728953,0.927432435821921
"285",6,"OP","GBH","Block2","CT",0.302186100378893,0.746674470545336
"286",7,"EC","GBH","Block2","CT",0.153480123036613,0.822472155789256
"287",8,"TSS","GBH","Block2","CT",1491.91870977408,1.81491639682651
"288",9,"TDS","GBH","Block2","CT",459.080983780017,0.551763233417872
"289",1,"NO3","LCS","Block1","MT",3.48679988507086,-0.659302359222937
"290",2,"NO2","LCS","Block1","MT",0.0727369527243042,0.0749781390345984
"291",3,"TKN","LCS","Block1","MT",2.81240315875659,-0.30038839277995
"292",4,"pH","LCS","Block1","MT",4.94460410529619,0.0163022145382548
"293",5,"TP","LCS","Block1","MT",0.47876152762094,-0.248433209524648
"294",6,"OP","LCS","Block1","MT",0.320602774016757,0.892603018860889
"295",7,"EC","LCS","Block1","MT",0.103762940284226,-0.0194629935610974
"296",8,"TSS","LCS","Block1","MT",604.53289879399,-0.206148551528876
"297",9,"TDS","LCS","Block1","MT",341.68692542567,-0.0387550533314327
"298",1,"NO3","ISCO","Block1","MT",3.26256338362643,-0.728372292486136
"299",2,"NO2","ISCO","Block1","MT",0.0309734048520282,-0.959671208560662
"300",3,"TKN","ISCO","Block1","MT",-0.125616739211288,-1.62348586914166
"301",4,"pH","ISCO","Block1","MT",2.09953792321735,-1.02596141937161
"302",5,"TP","ISCO","Block1","MT",0.316024216766206,-0.745736376453922
"303",6,"OP","ISCO","Block1","MT",0.0919495456436281,-0.919180929764566
"304",7,"EC","ISCO","Block1","MT",0.0523507214161444,-0.890102715580594
"305",8,"TSS","ISCO","Block1","MT",270.705474600226,-0.966456973738837
"306",9,"TDS","ISCO","Block1","MT",147.105633230936,-1.01754233533739
"307",1,"NO3","GB","Block1","MT",10.0823694661045,1.37228281027575
"308",2,"NO2","GB","Block1","MT",0.129929436367757,1.49186365053429
"309",3,"TKN","GB","Block1","MT",4.75360450196796,0.573805345693159
"310",4,"pH","GB","Block1","MT",8.39665124751544,1.28092769901422
"311",5,"TP","GB","Block1","MT",0.952903781875,1.20048126114647
"312",6,"OP","GB","Block1","MT",0.322053967313452,0.904101866876346
"313",7,"EC","GB","Block1","MT",0.169656406390608,1.09640926943083
"314",8,"TSS","GB","Block1","MT",1073.85360920584,0.86275251226322
"315",9,"TDS","GB","Block1","MT",629.34038600065,1.40820598624282
"316",1,"NO3","GBH","Block1","MT",7.58367734381635,0.602628909059788
"317",2,"NO2","GBH","Block1","MT",0.0921511219049468,0.555944400289195
"318",3,"TKN","GBH","Block1","MT",5.1634163194861,0.75835854831663
"319",4,"pH","GBH","Block1","MT",6.87632857648907,0.723971575532517
"320",5,"TP","GBH","Block1","MT",0.904587377623667,1.05283287785549
"321",6,"OP","GBH","Block1","MT",0.275770229189065,0.537362527953437
"322",7,"EC","GBH","Block1","MT",0.151891288116807,0.79556604624233
"323",8,"TSS","GBH","Block1","MT",1010.20126631499,0.71778116214067
"324",9,"TDS","GBH","Block1","MT",499.987966555678,0.757534477068487
"325",1,"NO3","LCS","Block2","MT",5.80938204244287,0.0561056745923504
"326",2,"NO2","LCS","Block2","MT",0.0417467204289006,-0.692773291574822
"327",3,"TKN","LCS","Block2","MT",3.64547045222799,0.0747721819982726
"328",4,"pH","LCS","Block2","MT",3.50315731875532,-0.51175845951258
"329",5,"TP","LCS","Block2","MT",0.316479419469328,-0.744345338684718
"330",6,"OP","LCS","Block2","MT",0.146561817549174,-0.486448628801937
"331",7,"EC","LCS","Block2","MT",0.0824677168701246,-0.380086748026335
"332",8,"TSS","LCS","Block2","MT",414.896253121079,-0.638055364496621
"333",9,"TDS","LCS","Block2","MT",211.395888240327,-0.694148019006423
"334",1,"NO3","ISCO","Block2","MT",0.952764106747895,-1.43984290890101
"335",2,"NO2","ISCO","Block2","MT",0.019885968451788,-1.23435114890231
"336",3,"TKN","ISCO","Block2","MT",0.426541665327826,-1.37482880861497
"337",4,"pH","ISCO","Block2","MT",0.561297344644027,-1.58948160225889
"338",5,"TP","ISCO","Block2","MT",-0.0506675904375362,-1.86629684320649
"339",6,"OP","ISCO","Block2","MT",-0.00841976625389692,-1.71447916160833
"340",7,"EC","ISCO","Block2","MT",0.00972891874625543,-1.61188121970815
"341",8,"TSS","ISCO","Block2","MT",95.7145869916751,-1.36500735041955
"342",9,"TDS","ISCO","Block2","MT",83.5249035498141,-1.33736758107715
"343",1,"NO3","GB","Block2","MT",7.56538296142759,0.596993823948563
"344",2,"NO2","GB","Block2","MT",0.0888612021668715,0.474439990724892
"345",3,"TKN","GB","Block2","MT",5.6071059948785,0.958168185482624
"346",4,"pH","GB","Block2","MT",7.02754569687396,0.779368566433652
"347",5,"TP","GB","Block2","MT",0.915734706941474,1.08689760550419
"348",6,"OP","GB","Block2","MT",0.215875957026087,0.0627771407643907
"349",7,"EC","GB","Block2","MT",0.150873190888949,0.778325088606842
"350",8,"TSS","GB","Block2","MT",1270.67237878853,1.31101696664151
"351",9,"TDS","GB","Block2","MT",536.208690034169,0.939732791643975
"352",1,"NO3","GBH","Block2","MT",5.56744717423579,-0.0184157574379497
"353",2,"NO2","GBH","Block2","MT",0.0873252848676842,0.436389204512368
"354",3,"TKN","GBH","Block2","MT",3.12807313000279,-0.158230695819524
"355",4,"pH","GBH","Block2","MT",5.55466024887702,0.239790630063622
"356",5,"TP","GBH","Block2","MT",0.758753427862908,0.607184091594254
"357",6,"OP","GBH","Block2","MT",0.225492734410496,0.13897778322435
"358",7,"EC","GBH","Block2","MT",0.128285461449654,0.395813403387822
"359",8,"TSS","GBH","Block2","MT",741.754458244166,0.106380317573854
"360",9,"TDS","GBH","Block2","MT",321.181879762605,-0.141900004655291
"361",1,"NO3","LCS","Block1","ST",3.15118430305108,-0.762679577931197
"362",2,"NO2","LCS","Block1","ST",0.0391148013804281,-0.757976404460577
"363",3,"TKN","LCS","Block1","ST",2.01570942888283,-0.659168625738296
"364",4,"pH","LCS","Block1","ST",3.46636887909904,-0.525235563505294
"365",5,"TP","LCS","Block1","ST",0.384664210933836,-0.535981856741848
"366",6,"OP","LCS","Block1","ST",0.137837638571258,-0.555576572236575
"367",7,"EC","LCS","Block1","ST",0.0939220204160011,-0.186113955669377
"368",8,"TSS","LCS","Block1","ST",222.800332542916,-1.07556329734692
"369",9,"TDS","LCS","Block1","ST",229.258784964611,-0.604293665916727
"370",1,"NO3","ISCO","Block1","ST",1.14908152810683,-1.37937268614816
"371",2,"NO2","ISCO","Block1","ST",0.0262844226581541,-1.07583596502759
"372",3,"TKN","ISCO","Block1","ST",0.588521895713617,-1.30188320528799
"373",4,"pH","ISCO","Block1","ST",0.823915070840057,-1.49327403163773
"374",5,"TP","ISCO","Block1","ST",-0.0844555535753705,-1.96954827942774
"375",6,"OP","ISCO","Block1","ST",0.102317826268924,-0.837025586735248
